,timepoint,time (s),index range around maximum,values range around maximum,max parabola,deviation (pixel),deviation (nm),threshold (nm),thresholded deviation
0,143.0,34.5,"(16, 17, 18, 19, 20, 21, 22)",[1983 2218 2496 2746 2536 1838 1215],18.55044598612488,1.268992407676226,130.96001647218654,418.04051352186065,True
0,144.0,34.75,"(16, 17, 18, 19, 20, 21, 22)",[1947 2185 2517 2707 2382 1690 1154],18.47544910179641,1.1939955233477555,123.22033800948837,418.04051352186065,True
0,145.0,35.0,"(16, 17, 18, 19, 20, 21, 22)",[1754 2053 2453 2742 2552 1777 1201],18.717344753747327,1.4358911752986714,148.1839692908229,418.04051352186065,True
0,146.0,35.25,"(16, 17, 18, 19, 20, 21, 22)",[1771 2082 2406 2729 2576 1865 1212],18.734036722389703,1.4525831439410481,149.90658045471616,418.04051352186065,True
0,147.0,35.5,"(16, 17, 18, 19, 20, 21, 22)",[1804 2019 2417 2761 2650 1933 1251],18.781494986326354,1.5000414078776991,154.80427329297856,418.04051352186065,True
0,148.0,35.75,"(16, 17, 18, 19, 20, 21, 22)",[1846 2066 2402 2733 2637 1956 1298],18.763433052570434,1.481979474121779,152.9402817293676,418.04051352186065,True
0,149.0,36.0,"(17, 18, 19, 20, 21, 22, 23)",[2105 2470 2740 2753 2214 1435 1007],19.143397324025536,1.8619437455768804,192.15259454353406,418.04051352186065,True
0,150.0,36.25,"(17, 18, 19, 20, 21, 22, 23)",[1987 2214 2641 2755 2161 1388 1008],19.272461965362112,1.9910083869134567,205.47206552946872,418.04051352186065,True
0,151.0,36.5,"(16, 17, 18, 19, 20, 21, 22)",[1780 2080 2442 2760 2740 2125 1371],18.88380574277537,1.6023521643267138,165.36274335851687,418.04051352186065,True
0,152.0,36.75,"(16, 17, 18, 19, 20, 21, 22)",[1907 2111 2401 2681 2664 2110 1417],18.80497903000323,1.5235254515545762,157.22782660043228,418.04051352186065,True
0,153.0,37.0,"(16, 17, 18, 19, 20, 21, 22)",[1907 2090 2410 2653 2645 2158 1427],18.823926649829808,1.5424730713811527,159.18322096653498,418.04051352186065,True
0,154.0,37.25,"(16, 17, 18, 19, 20, 21, 22)",[1879 2081 2384 2728 2705 2186 1461],18.8855891971727,1.6041356187240439,165.5467958523213,418.04051352186065,True
0,155.0,37.5,"(17, 18, 19, 20, 21, 22, 23)",[2123 2396 2760 2877 2343 1595 1160],19.292251490098,2.0107979116493446,207.51434448221238,418.04051352186065,True
0,156.0,37.75,"(17, 18, 19, 20, 21, 22, 23)",[2119 2377 2598 2719 2273 1512 1082],19.182939687895345,1.9014861094466902,196.23336649489843,418.04051352186065,True
0,157.0,38.0,"(17, 18, 19, 20, 21, 22, 23)",[1990 2225 2611 2718 2287 1541 1070],19.349503214494394,2.068049636045739,213.42272243992028,418.04051352186065,True
0,158.0,38.25,"(17, 18, 19, 20, 21, 22, 23)",[2065 2303 2648 2765 2342 1646 1179],19.345871559632972,2.0644179811843166,213.04793565822146,418.04051352186065,True
0,159.0,38.5,"(17, 18, 19, 20, 21, 22, 23)",[2027 2282 2622 2793 2346 1611 1120],19.370612126486748,2.0891585480380925,215.60116215753115,418.04051352186065,True
0,160.0,38.75,"(17, 18, 19, 20, 21, 22, 23)",[2090 2348 2664 2889 2526 1717 1163],19.422566982782378,2.1411134043337228,220.96290332724018,418.04051352186065,True
